No.                 MATRICULA                 NOMBRE(S)               APELLIDO PATERNO                APELLIDO MATERNO             FECHA DE NACIMIENTO               EDAD                 SEXO               LUAGR NAC                       CURP

1                    319020                 VICTORIA ANA              CORDOVA                         NAVARRO                      25/09/1992                         50                   M                 NAYARIT                   CONV920925MNTRVC05
2                    331960                 JOSE                      MIRANDA                         CISNEROS                     04/05/1990                         29                   H                 SAN LUIS POTOSI           MICJ900504HSPRSS07
3                    308918                 CARLOS SEBASTIAN          GUERRA                          VALENCIA                     23/02/2004                         41                   H                 GUANAJUATO                GUVC040223HGTRLRA0
4                    326464                 ELENA                     SEGURA                          ROBLES                       04/07/1996                         20                   M                 COAHUILA                  SERE960704MCLGBL09
5                    300700                 FERNANDO                  MENDOZA                         SANCHEZ                      15/04/1997                         19                   H                 SINALOA                   MESF970415HSLNNR09
6                    327443                 MANUEL JOSE               DELGADO                         RAMIREZ                      15/03/1992                         27                   H                 YUCATAN                   DERM920315HYNLMN04
7                    329995                 ANA LAURA                 GUTIERREZ                       GUTIERREZ                    26/03/1990                         32                   M                 HIDALGO                   GXGA900326MHGTTN06
8                    305049                 SEBASTIAN                 SILVA                           MEZA                         26/11/1996                         36                   H                 PUEBLA                    SIMS961126HPLLZB05
9                    330233                 FERNANDA GABRIELA         ORTEGA                          SEGURA                       21/11/2000                         28                   M                 CAMPECHE                  OESF001121MCCRGRA0
10                   314543                 ELENA CLARA               ZAMORA                          VARGAS                       24/04/1995                         44                   M                 SINALOA                   ZAVE950424MSLMRL07
11                   323620                 ANGEL PEDRO               AGUILAR                         PIZARRO                      02/10/2009                         44                   H                 MICHOACAN                 AUPA091002HMNGZNA9
12                   323931                 ANA LUISA                 NAVARRO                         VARGAS                       21/01/1994                         45                   M                 DURANGO                   NAVA940121MDGVRN07
13                   323415                 ANA                       LUNA                            VALDEZ                       13/03/2002                         19                   M                 GUERRERO                  LUVA020313MGRNLNA1
14                   306439                 ANTONIO                   CASTILLO                        RIOS                         12/08/1991                         34                   H                 MICHOACAN                 CARA910812HMNSSN06
15                   318284                 BEATRIZ                   SOSA                            GUTIERREZ                    17/01/1993                         36                   M                 SONORA                    SOGB930117MSRSTT06
16                   320086                 ALEJANDRO                 GALLEGOS                        CASTRO                       25/12/2006                         35                   H                 QUINTANA ROO              GXCA061225HQRLSLA1
