------------------------------------------------------------------------------------------
  No  | MATRICULA | NOMBRE        | APELLIDO P.  |  APELLIDO MAT.     | EDAD  | SEXO 
------------------------------------------------------------------------------------------
   0.-  300011      VICTORIA        LOPEZ           SAAVEDRA            37      MUJER  
   1.-  300613      ISABEL          SANDEZ          SANCHEZ             36      MUJER  
   2.-  300787      JAVIER          RODRIGUEZ       RUIZ                24      HOMBRE 
   3.-  300979      SOFIA           ORTEGA          VARGAS              39      MUJER  
   4.-  301376      CARMEN          TORRES          MEZA                30      MUJER  
   5.-  301512      FELIPE          ORTEGA          CASTILLO            28      HOMBRE 
   6.-  301845      ANDRES          SOLANO          GARCIA              33      HOMBRE 
   7.-  303527      BEATRIZ         PEREZ           TORRES              30      MUJER  
   8.-  303558      ELENA           LOPEZ           PEREZ               31      MUJER  
   9.-  304195      LUISA           MENDOZA         SANDEZ              28      MUJER  
  10.-  304328      PATRICIA        LOPEZ           TORRES              18      MUJER  
  11.-  304458      BEATRIZ         SANDEZ          RAMIREZ             25      MUJER  
  12.-  305234      JOSE            TORRES          VARGAS              19      MUJER  
  13.-  305502      GABRIELA        RAMIREZ         GARCIA              26      MUJER  
  14.-  305535      PATRICIA        RUIZ            ROJAS               32      MUJER  
  15.-  306376      MIGUEL          RODRIGUEZ       LOPEZ               18      HOMBRE 
  16.-  306596      PEDRO           MARTINEZ        DIAZ                24      HOMBRE 
  17.-  306974      ANDRES          SANCHEZ         LOPEZ               22      HOMBRE 
  18.-  307851      JOSE            GONZALEZ        LOPEZ               38      HOMBRE 
  19.-  308179      PATRICIA        PEREZ           ROJAS               39      MUJER  
  20.-  309073      ALEJANDRO       SANDEZ          MORALES             22      HOMBRE 
  21.-  309258      ALEJANDRO       TORRES          MORALES             20      HOMBRE 
  22.-  309497      LAURA           VARGAS          VARGAS              33      MUJER  
  23.-  310010      SOFIA           ORTEGA          MORALES             20      MUJER  
  24.-  310091      FERNANDO        RAMIREZ         FLORES              28      HOMBRE 
  25.-  310881      JAVIER          VARGAS          MARTINEZ            29      HOMBRE 
  26.-  311745      ELENA           TORRES          MORALES             37      MUJER  
  27.-  311862      VICTORIA        RAMIREZ         TORRES              20      MUJER  
  28.-  312227      FELIPE          ROJAS           GUTIERREZ           38      HOMBRE 
  29.-  312423      SEBASTIAN       MENDOZA         GUTIERREZ           26      HOMBRE 
  30.-  312699      CLARA           RODRIGUEZ       PEREZ               32      MUJER  
  31.-  312859      JOSE            ROJAS           TORRES              39      HOMBRE 
  32.-  312871      VICTORIA        MORALES         LOPEZ               21      MUJER  
  33.-  313317      CARLOS          GARCIA          MEZA                31      HOMBRE 
  34.-  313953      ANDRES          FERNANDEZ       VARGAS              30      HOMBRE 
  35.-  314488      ISABEL          FLORES          PEREZ               32      MUJER  
  36.-  314489      ROBERTO         PEREZ           RODRIGUEZ           28      HOMBRE 
  37.-  314586      MANUEL          MENDOZA         GONZALEZ            33      HOMBRE 
  38.-  314767      ELENA           GONZALEZ        PEREZ               24      MUJER  
  39.-  315033      ELENA           PEREZ           GARCIA              37      MUJER  
  40.-  315084      ANTONIO         SANCHEZ         SANCHEZ             28      HOMBRE 
  41.-  315752      LAURA           GONZALEZ        TORRES              19      MUJER  
  42.-  316074      CARMEN          VARGAS          RUIZ                37      MUJER  
  43.-  316720      LUIS            DIAZ            GARCIA              33      HOMBRE 
